Audio File,Transcription
0000.wav,"Votre attention s'il vous plaît, ce train a pour destination Cergy-le-Haut. Il desservira Pont-Cardinet, Clichy-Levallois, Bécon-les-Bruyères et toutes les gares de Nanterre-Université à Cergy-le-Haut."
0001.wav,"Votre attention s'il vous plaît, ce train a pour destination Cergy-le-Haut. Il desservira toutes les gares de Nanterre-Université à Cergy-le-Haut."
0002.wav,"Votre attention s'il vous plaît, ce train a pour destination Cergy-le-Haut. Ce train desservira toutes les gares jusqu'à Cergy-le-Haut."
0003.wav,"Votre attention s'il vous plaît, ce train a pour destination Cergy-le-Haut. Il desservira Clichy-Levallois, Bécon-les-Bruyères, et toutes les gares de Nanterre-Université à Cergy-le-Haut."
0004.wav,"Votre attention s'il vous plaît, ce train a pour destination Cergy-le-Haut. Il desservira toutes les gares de Nanterre-Université à Cergy-le-Haut."
0005.wav,"Votre attention s'il vous plaît, ce train a pour destination Cergy-le-Haut. Ce train desservira toutes les gares jusqu'à Cergy-le-Haut."
0006.wav,"Votre attention s'il vous plaît, ce train a pour destination Maison-Laffitte. Il desservira toutes les gares Bécon-les-Bruyères à Maison-Laffitte."
0007.wav,"Votre attention s'il vous plaît, ce train a pour destination Maison-Laffitte. Il desservira toutes les gares jusqu'à Maison-Laffitte."
0008.wav,"Votre attention s'il vous plaît, ce train a pour destination Maison-Laffitte. Il desservira Pont-Cardinet, Clichy-Levallois, Bécon-les-Bruyères, et toutes les gares de Nanterre-Université à Maison-Laffitte."
0009.wav,"Votre attention s'il vous plaît, ce train a pour destination Maison-Laffitte. Il desservira toutes les gares de Nanterre-Université à Maison-Laffitte."
0010.wav,"Votre attention s'il vous plaît, ce train a pour destination Maison-Laffitte. Il desservira toutes les gares jusqu'à Maison-Laffitte."
0011.wav,"Votre attention s'il vous plaît, ce train a pour destination Maison-Laffitte. Il desservira toutes les gares jusqu'à Maison-Laffitte."
0012.wav,"Votre attention s'il vous plaît, ce train a pour destination Maison-Laffitte. Il desservira Clichy-Levallois, Bécon-les-Bruyères, et toutes les gares de Nanterre-Université à Maison-Laffitte."
0013.wav,"Votre attention s'il vous plaît, ce train a pour destination Maison-Laffitte. Il desservira toutes les gares de Nanterre-Université à Maison-Laffitte."
0014.wav,"Votre attention s'il vous plaît, ce train a pour destination Maison-Laffitte. Il desservira toutes les gares jusqu'à Maison-Laffitte."
0015.wav,"Votre attention s'il vous plaît, ce train a pour destination Marly-le-Roi. Il desservira Bécon-les-Bruyères, Courbevoie, La Défense et toutes les gares de Saint-Cloud à Marly-le-Roi."
0016.wav,"Votre attention s'il vous plaît, ce train a pour destination Marly-le-Roi. Ce train desservira Courbevoie, La Défense et toutes les gares de Saint-Cloud à Marly-le-Roi."
0017.wav,"Votre attention s'il vous plaît, ce train a pour destination Marly-le-Roi. Ce train desservira toutes les gares de Saint-Cloud à Marly-le-Roi."
0018.wav,"Votre attention s'il vous plaît, ce train a pour destination Marly-le-Roi. Ce train desservira toutes les gares jusqu'à Marly-le-Roi."
0019.wav,"Votre attention s'il vous plaît, ce train a pour destination Nanterre-Université. Il desservira toutes les gares jusqu'à Nanterre-Université."
0020.wav,"Votre attention s'il vous plaît, ce train a pour destination Noisy-le-Roi. Il desservira toutes les gares de Saint-Germain-en-Laye Grande Ceinture à Noisy-le-Roi."
0021.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Asnières-sur-Seine et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0022.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira Asnières-sur-Seine et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0023.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train est direct Paris-Saint-Lazare."
0024.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Saint-Cloud, La Défense, et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0025.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira La Défense et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0026.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train est direct Paris-Saint-Lazare."
0027.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Nanterre-Université, Bécon-les-Bruyères, Clichy-Levallois, Pont-Cardinet, Paris-Saint-Lazare."
0028.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira Bécon-les-Bruyères, Clichy-Levallois, Pont-Cardinet, Paris-Saint-Lazare."
0029.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira Clichy-Levallois, Pont-Cardinet, Paris-Saint-Lazare."
0030.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Nanterre-Université, Bécon-les-Bruyères, Clichy-Levallois et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0031.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira Bécon-les-Bruyères, Clichy-Levallois et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0032.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira Clichy-Levallois et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0033.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train est direct Paris-Saint-Lazare."
0034.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Nanterre-Université, Bécon-les-Bruyères, Clichy-Levallois, Pont-Cardinet, Paris-Saint-Lazare."
0035.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira Bécon-les-Bruyères, Clichy-Levallois, Pont-Cardinet, Paris-Saint-Lazare."
0036.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira Clichy-Levallois, Pont-Cardinet, Paris-Saint-Lazare."
0037.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à La Défense et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0038.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train est direct Paris-Saint-Lazare."
0039.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Saint-Cloud, La Défense, Courbevoie, Bécon-les-Bruyères, il sera sans arrêt jusqu'à Paris-Saint-Lazare."
0040.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira La Défense, Courbevoie, Bécon-les-Bruyères, il sera sans arrêt jusqu'à Paris-Saint-Lazare."
0041.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira Courbevoie, Bécon-les-Bruyères et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0042.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train est direct Paris-Saint-Lazare."
0043.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Saint-Cloud, La Défense, et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0044.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira La Défense et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0045.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train est direct Paris-Saint-Lazare."
0046.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Bécon-les-Bruyères et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0047.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train est direct Paris-Saint-Lazare."
0048.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Bécon-les-Bruyères et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0049.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train est direct Paris-Saint-Lazare."
0050.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Paris-Saint-Lazare."
0051.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Paris-Saint-Lazare."
0052.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Bécon-les-Bruyères et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0053.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train est direct Paris-Saint-Lazare."
0054.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Il desservira toutes les gares jusqu'à Nanterre-Université, Bécon-les-Bruyères, Clichy-Levallois et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0055.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira Bécon-les-Bruyères, Clichy-Levallois et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0056.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train desservira Clichy-Levallois et sera sans arrêt jusqu'à Paris-Saint-Lazare."
0057.wav,"Votre attention s'il vous plaît, ce train a pour destination Paris-Saint-Lazare. Ce train est direct Paris-Saint-Lazare."
0058.wav,"Votre attention s'il vous plaît. Ce train a pour destination Saint-Cloud. Il desservira toutes les gares de Asnières-sur-Seine à Saint-Cloud."
0059.wav,"Votre attention s'il vous plaît, ce train a pour destination Saint-Cloud. Il desservira toutes les gares jusqu'à Saint-Cloud."
0060.wav,"Votre attention s'il vous plaît. Ce train a pour destination Saint-Cloud. Il desservira toutes les gares de Bécon-les-Bruyères à Saint-Cloud."
0061.wav,"Votre attention s'il vous plaît, ce train a pour destination Saint-Cloud. Il desservira toutes les gares jusqu'à Saint-Cloud."
0062.wav,"Votre attention s'il vous plaît, ce train a pour destination Saint-Germain-en-Laye Grande Ceinture. Il desservira toutes les gares de Noisy-le-Roi à Saint-Germain-en-Laye Grande Ceinture."
0063.wav,"Votre attention s'il vous plaît, ce train a pour destination Saint-Nom-la-Bretèche. Il desservira toutes les gares Bécon-les-Bruyères à Saint-Nom-la-Bretèche."
0064.wav,"Votre attention s'il vous plaît, ce train a pour destination Saint-Nom-la-Bretèche. Il desservira toutes les gares jusqu'à Saint-Nom-la-Bretèche."
